#separator:tab
#html:false
#deck:2A
#notetype:Basic
학생 카드	o'quvchilik guvohnomasi
우편	pochta xizmati
바로	to'g'ridan to'g'ri/bevosita
뽑다	ishga olmoq
의미	ma'no
새	qush/yangi
제비	qaldirg'och
소식	xabar
전하다	yetkazmoq
꽃집	gul do'koni
사거리	to'rt yo'l chorrahasi
신호등	svetafor
지하도	yer osti yo'li
육교	ko'prik
횡단보도	piyodalar o'tish joyi
쭉 가다	to'g'riga bormoq
왼쪽으로 돌아가다	chap tarafga qaytib bormoq
오른쪽으로 돌아가다	o'ng tarafga qaytib bormoq
나가다	chiqmoq
건너다	kesib o'tmoq
세우다	mashina qo'ymoq
직진하다	to'g'riga yurmoq
좌회전하다	chap tarafga burmoq
우회전하다	o'ng tarafga burmoq
가져가다	o'zi bilan olib ketmoq
학생회관	o'quvchilar zali
근처	yaqinida
출구	chiqish
친구를 사귀다	do'stlashmoq
한참	uzoq vaqt
나오다	chiqib kelmoq
사고가 나다	avariya sodir bo'lmoq
경찰서	politsiya xona
잊다	unutmoq
알려 주다	bildirib bermoq
지나다	dan o'tmoq
미터	metr
걸어오다	piyoda kelmoq
올라오다	ko'tarilib kelmoq
약도	yo'nalish xaritasi
보건소	sog'liqni saqlash markazi
내려가다	tushib bormoq
광장	maydon
동상	haykal
기념하다	xotiralamoq
이름을 붙이다	nomlamoq
기분이 좋다	kayfiyati yaxshi
기분이 나쁘다	kayfiyati yomon
기쁘다	xursand
슬프다	g'amgin
외롭다	yolg'izlikdan siqilmoq
창피하다	uyalmoq
즐겁다	zavqlanmoq
속상하다	hafa bo'lmoq
답답하다	siqilmoq
긴장되다	hayajonlamoq
걱정되다	xavotirlanmoq
화가 나다	jahli chiqmoq
짜증이 나다	asabiylashmoq
무섭다	qo'rqinchli
재미있다	qiziqarli
교통사고가 나다	avariya sodir bo'lmoq
퇴원하다	kasalxonadan chiqmoq
이사를 가다	ko'chib ketmoq
노트북	notebook
고장이 나다	buzilmoq
큰 소리로	baland ovozda
잘못	noto'g'ri
운이 없다	omadsiz
잠이 들다	uxlab qolmoq
지나가다	o'tib ketmoq
놓치다	o'tkazib yubormoq
넘어지다	yiqilib tushmoq
졸다	mudramoq
종점	so'ngi to'xtash joyi
외우다	yodlamoq
답	javob
방송국	televideniya
인터뷰	intervyu
시간을 내다	vaqt ajratmoq
스트레스를 풀다	stressni yechmoq
무엇보다	hammasidan ko'ra
사 가다	sotib olib bormoq
대답하다	javob bermoq
당황하다	qoyil qolmoq
표현하다	ifodalmoq
설명하다	tushuntirmoq
전화를 걸다	telefon qilmoq
전화가 오다	telefon kelmoq
전화를 받다	telefonni olmoq
전화를 바꾸다	telefonni ulab bermoq
통화를 하다	aloqalashmoq
전화를 끊다	telefonni qo'ymoq
문자를 보내다	sms jo'natmoq
문자를 받다	sms olmoq
문자를 지우다	smsni o'chirmoq
대상	maqsad/qatnashuvchilar
장소	joy
참가비	qatnashish to'lovi
접수	qabul
문의	ma'lumot so'rash
부탁하다	iltimos
공사	qurilish
외국인	chet ellik
을/를 위한	uchun
국악	milliy musiqa
동양화	sharq rassomchiligi
전시	ko'rgazma
애니메이션	animatsiya
상영	namoyish
남다	qolmoq
술	aroq
잠	uyqu
말씀하다	gapirmoq (hurmat)
무료	tekin
태권도복	taykvondo kiyimi
다도	choy marosimi
악기	cholg'u asbob
체험	tajriba
재료비	material to'lovi
퀴즈	savol javob
프로그램	programma
참가하다	qatnashmoq
한국학	koreya tili yo'nalishi
궁금하다	tashvishlanmoq
갑자기	to'satdan
상담원	operator
통역하다	og'zaki tarjima qilmoq
치료를 받다	diagnozni olmoq
통역	og'zaki tarjima
정보를 얻다	ma'lumot olmoq
